"BehaviorSpace results (NetLogo 6.0.4)"
"attitude_change.nlogo"
"delta_p2"
"08/21/2018 15:54:30:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","-38","38"
"[run number]","initial_groupspread","independent_distribution","latitude_acceptance","color_axis_max","sharpness_acceptance","alpha","p","eta","polarity","focus_one","b","M","p_as","motivated_cognition","N","rolling","skip_ticks_draw","iterations_per_tick","visualization","intergroup_credibility","[step]","cum_fragmentation","cum_sd","cum_biasmean"
"91","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.15","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.615205263188865","1.1990585133036644","2.8057212373537515"
"92","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.2","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.5654535013269704","1.2163812385271893","2.7720118166218812"
"93","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.25","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.452966000218703","1.2052587430584012","2.7650620048403525"
"94","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.3","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.372556679113857","1.2023268442070572","2.7529315341425105"
"95","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.35","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.2709994772178965","1.2080251480228215","2.7254992955206987"
"96","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.4","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.1344689016209837","1.2097836491291947","2.6974111749518412"
"97","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.45","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.9602856703916145","1.2048472318074088","2.673793893823602"
"98","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.5","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.7584088407024883","1.2029710025758669","2.635227768223979"
"99","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.55","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.510015301546248","1.1928358068477893","2.5976463774515994"
"100","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.6","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.166095677829235","1.1852527422993804","2.5241631773588495"
"101","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.65","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.654109731281391","1.1514092957187494","2.4162102553375124"
